iso_a2,country_code,country_name,x2020,x2021,x2022,x2023,x2024,x2025,x2026,x2027,x2028,x2029,x2030,x2031,x2032,x2033,x2034,x2035,x2036,x2037,x2038,x2039,x2040
BI,BDI,Burundi,12220226,12551213,12889576,13238559,13591658,13948140,14307816,14673012,15043647,15419302,15800530,16187388,16580035,16979760,17386443,17799740,18217324,18639033,19066058,19496105,19928151
KM,COM,Comoros,806166,821626,836774,852075,867604,883075,898473,913810,929073,944276,959412,974456,989460,1004456,1019412,1034320.9999999999,1049114,1063780,1078375,1092920,1107417
DJ,DJI,Djibouti,1090156,1105557,1120849,1136455,1152329,1168257,1184178,1200065,1215879,1231575,1247129,1262554,1277807,1292873,1307741,1322377,1336717,1350696,1364395,1377832,1390928
ER,ERI,Eritrea,3555868,3620312,3684032,3748902,3817651,3889630,3963932,4040638,4119756.9999999995,4200710,4283355,4367625,4453047,4539275,4625813,4712526,4799286,4885821,4972304,5058644,5144492
ET,ETH,Ethiopia,117190911,120283026,123379924,126527060,129719719,132938555,136180141,139439744,142715864,146003944,149296378,152585021,155874633,159160258,162438815,165715492,168986410,172252604,175514171,178779627,182052579
KE,KEN,Kenya,51985780,53005614,54027487,55100586,56203030,57323930,58457378,59604431,60762923,61929864,63103942,64284466,65470260,66655944,67839692,69018977,70186445,71342689,72493659,73634414,74757978
MG,MDG,Madagascar,28225177,28915653,29611714,30325732,31056610,31797306,32544738,33299316,34061942,34830840,35604443,36382790,37165274,37952413,38742689,39534122,40326745,41120987,41918816,42720774,43524300
MW,MWI,Malawi,19377061,19889742,20405317,20931751,21475962,22033992,22601151,23176271,23758548,24347875,24944243,25544608,26148406,26755508,27364192,27975136,28589069,29206646,29825538,30443121,31059544
MZ,MOZ,Mozambique,31178239,32077072,32969517.999999996,33897354,34858402,35834558,36825701,37831124,38849522,39880166,40920707,41972677,43036239,44106698,45186202,46273717,47365952,48466889,49574698,50685124,51800400
RW,RWA,Rwanda,13146362,13461888,13776698,14094683,14414910,14737248,15061866,15387840,15715617,16045268,16375704,16706697,17038488,17371424,17705321,18040220,18376507,18714064,19051669,19388318,19724007
SO,SOM,Somalia,16537016,17065581,17597511,18143378,18706922,19281903,19867185,20463994,21071158,21689079,22316857,22954690,23603148,24260802,24929000,25606196,26289267,26980593,27679425,28383844,29094714
SS,SSD,South Sudan,10606227,10748272,10913164,11088796,11277092,11473439,11676686,11887262,12105957,12333241,12570402,12816418,13069562,13327396,13588252,13850995,14112524,14371522,14628915,14883662,15134634
UG,UGA,Uganda,44404611,45853778,47249585,48582334,49924252,51284671,52667779,54074276,55500544,56937558,58380262,59824141,61273497,62728594,64184560,65647933.99999999,67116524,68590124,70067152,71541113,73014668
TZ,TZA,United Republic of Tanzania,61704518,63588334,65497748,67438106,69419073,71427810,73462459,75526304,77619828,79739837,81885304,84062352,86270886,88509837,90784591,93088536,95413992,97765602,100141517,102539970,104957697
ZM,ZMB,Zambia,18927715,19473125,20017675,20569737,21134695,21706928,22285947,22874132,23469301,24069686,24676417,25288002,25905154,26528160,27154050,27782051,28412879,29047769,29687072,30330252,30973549
ZW,ZWE,Zimbabwe,15669666,15993524,16320537,16665409,17020321,17375285,17731592,18090446,18451235,18814068,19179393,19547971,19919582,20293203,20668334,21044297,21420364,21795710,22169385,22541721,22912369
AO,AGO,Angola,33428485.999999996,34503774,35588987,36684202,37804634,38942792,40099526,41274799,42468710,43680934,44911664,46161755,47428242,48710079,50007926,51321963,52652828,53998512,55355639,56723292,58104437
CM,CMR,Cameroon,26491087,27198628,27914536,28647293,29394433,30150781,30914482,31686360,32466454,33255398,34051102,34852730,35661603,36480529,37308723,38142790,38983916,39833668,40690719,41554156,42424030
CF,CAF,Central African Republic,5343020,5457154,5579144,5742316,5915627,6097449,6286950,6483409,6685708,6892982,7104274,7318808,7535935,7755424,7977058,8200171,8423550,8646900,8870492,9093368,9316419
TD,TCD,Chad,16644701,17179740,17723315,18278568,18847148,19425960,20013209,20610497,21217718,21833626,22460393,23097491,23742562,24395658,25057645,25729890,26409296,27095478,27791218,28494382,29202529
CG,COG,Congo,5702174,5835806,5970424,6106869,6244548,6383738,6525028,6668564,6814649,6963560,7114987,7268403,7423724,7580970,7740041,7900720,8062410,8225004.000000001,8388788,8553624,8719512
CD,COD,Democratic Republic of the Congo,92853164,95894118,99010212,102262808,105625114,109075560,112607660,116225955,119929158,123716492,127582053,131523203.00000001,135538810,139626690,143789026,148025707,152323103,156665737,161055774,165502850,170013816
GQ,GNQ,Equatorial Guinea,1596049,1634466,1674908,1714671,1754993,1795574,1836245,1876960,1917711,1958618,1999678,2040834,2081992.0000000002,2122936,2163786,2204634,2245434,2286181,2326720,2367028,2407198
GA,GAB,Gabon,2292573,2341179,2388992,2436566,2484558,2532884,2581236,2629578,2677790,2726063,2774522,2823293,2872311,2921510,2970796,3020240,3069919,3119671,3169407,3219237,3269247
SD,SDN,Sudan,44440486,45657202,46874204,48109006,49358228,50614633,51878826,53150426,54427201,55708982,56997098,58292751,59596368,60911388,62238161,63574240,64917690,66271201,67632934,69000685,70376379
BJ,BEN,Benin,12643123,12996895,13352864,13712828,14080072,14454199,14832937,15216009,15603721,15996446,16393827.000000002,16795573,17201982,17613873,18030402,18450172,18874268,19303369,19737070,20176029,20620647
BF,BFA,Burkina Faso,21522626,22100683,22673762,23251485,23840247,24436925,25040390,25650897,26267784,26892087,27523563,28160684,28803224,29451315,30104222,30759536,31416263,32074082,32733314,33392206,34050733
CI,CIV,C̫te d'Ivoire,26811790,27478249,28160542,28873034,29603302,30344181,31095448,31857148,32630380,33415862,34211272,35016385,35831986,36657338,37489206,38326368,39169609,40018237,40870342,41725788,42586278
GM,GMB,Gambia,2573995,2639916,2705992,2773168,2841804,2911208,2981096,3051308,3121685,3192412,3263651,3335154,3406846,3478942,3551235,3623616,3696214,3768766,3841110,3913159,3984778
GH,GHA,Ghana,32180402,32833031.000000004,33475870.000000004,34121985,34777522,35439785,36102736,36767488,37435099,38104805,38775850,39447704,40121418,40797660,41475941,42158202,42844158,43533064,44223240,44910363,45595915
GN,GIN,Guinea,13205152,13531906,13859340,14190612,14528770,14873052,15220392,15568760,15918453,16269856,16622387.999999998,16976053,17330988,17687444,18044749,18402322,18759589,19115845,19471305,19827660,20185302
GW,GNB,Guinea-Bissau,2015828,2060721,2105566,2150842,2197149,2244368,2291896,2339676,2387792,2436201,2484863,2533716,2582689,2631836,2681179,2730576,2779923,2829211,2878439,2927526,2976354
LR,LBR,Liberia,5087584,5193416,5302681,5418376,5536949,5657228,5779303,5902858,6028036,6154516,6282074,6410626,6539863,6670120,6800916,6932308,7064345,7196804,7329593,7462143,7594350
ML,MLI,Mali,21224040,21904983,22593590,23293698,24015789,24758658,25518081,26292781,27083625,27890510,28712294,29550408,30404609,31272674,32155238,33051142,33959625,34881647,35811410,36745659,37687790
MR,MRT,Mauritania,4498604,4614974,4736139,4862989,4993922,5128142,5264526,5403200,5543996,5686446,5830562,5976298,6123818,6273096,6424062,6576462,6729985,6884282,7038820,7193387,7348229
NE,NER,Niger,24333639,25252722,26207977,27202843,28238972,29315971,30427550,31572965,32753299,33969221,35217942,36498899,37815958,39167074,40551808,41971174,43423749,44909740,46431153,47985369,49566690
NG,NGA,Nigeria,208327404,213401323,218541212,223804632,229152217,234573603,240054483,245599161,251201204,256866062,262580425.99999997,268333202,274119414,279925063,285756014,291591598,297416662,303246596,309097424,314949915,320779660
SN,SEN,Senegal,16436119.999999998,16876720,17316449,17763163,18221567,18687800,19161050,19641034,20128434,20623578,21125872,21635686,22153523,22679016,23211962,23753290,24303115,24860626,25424698,25993655,26568156
SL,SLE,Sierra Leone,8233969.999999999,8420641,8605718,8791092,8977972,9165376,9353150,9540988,9728848,9917104,10105188,10292482,10479347,10666285,10852748,11037682,11220979,11402875,11583095,11761686,11938548
TG,TGO,Togo,8442580,8644829,8848698,9053799,9260864,9470158,9682133,9896486,10113396,10333904,10558178,10784898,11014261,11246734,11481745,11719540,11959996,12202364,12446712,12693112,12941012
